City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Guerrero Negro,MX,72.46,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
1,Karuzi,BI,66.63,few clouds,-3.125,30.1333,El manar
2,Harper,LR,76.28,overcast clouds,4.375,-7.7169,Screensaver
3,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Barrow,US,42.82,clear sky,71.2906,-156.7887,King Eider Inn
5,Tazovskiy,RU,30.49,clear sky,67.4667,78.7,TazHostel
6,Geraldton,AU,55.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
7,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
8,Forio,IT,70.52,overcast clouds,40.7342,13.8646,Hotel Terme Providence
9,Hermanus,ZA,57.79,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Berlevag,NO,44.4,overcast clouds,70.8578,29.0864,Kvitbrakka
12,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
13,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
14,Tobermory,CA,66.49,clear sky,45.2501,-81.6665,Escarpment Heights Motel
15,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Butaritari,KI,82.22,broken clouds,3.0707,172.7902,Isles Sunset Lodge
17,Fairbanks,US,50.81,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
18,Tasiilaq,GL,41.16,overcast clouds,65.6145,-37.6368,The Red House
19,Christchurch,NZ,53.47,overcast clouds,-43.5333,172.6333,The George
20,Kenai,US,52.09,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
21,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
22,Ketchikan,US,61.27,clear sky,55.3422,-131.6461,Snow's Cove Lodge
24,Yukhnov,RU,50.43,overcast clouds,54.7444,35.2297,Yukhnovgrad
25,Whitehorse,CA,49.1,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
26,Rikitea,PF,72.88,few clouds,-23.1203,-134.9692,People ThankYou
27,Saint Anthony,US,82.29,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
28,Manaus,BR,91.9,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
29,Mankono,CI,73.8,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
30,Sitka,US,53.49,few clouds,57.0531,-135.33,Westmark Sitka
31,Punta Arenas,CL,44.71,clear sky,-53.15,-70.9167,Hotel Hain
32,Bredasdorp,ZA,50.83,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
34,Busselton,AU,56.41,overcast clouds,-33.65,115.3333,Observatory Guest House
35,Upernavik,GL,32.43,light snow,72.7868,-56.1549,Café de Upernavik
36,College,US,50.79,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
37,Mana,GF,85.59,broken clouds,5.6592,-53.7767,LE SAMANA
38,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
39,Cape Town,ZA,59.27,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
40,New Norfolk,AU,42.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
41,San Miguel De Cauri,PE,62.1,few clouds,-10.1,-76.5833,San Miguel de Cauri
42,Dalvik,IS,53.53,overcast clouds,65.9702,-18.5286,Dalvík Hostel
43,Castro,BR,68.29,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
44,Cabo San Lucas,MX,86.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
45,Kokopo,PG,75.87,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
46,Severo-Kurilsk,RU,54.16,light rain,50.6789,156.125,Kak Doma
48,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
49,Sirvintos,LT,51.57,overcast clouds,55.05,24.95,"Lelija. Guest house, cafeteria & sewing factory"
50,Lagoa,PT,74.21,scattered clouds,39.05,-27.9833,Casa Das Faias
52,Khatanga,RU,26.89,overcast clouds,71.9667,102.5,"""Khatanga"""
54,Cockburn Town,TC,81.55,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
55,Nikolskoye,RU,49.91,light rain,59.7035,30.7861,Tourist House - Sablino
56,Akropong,GH,72.55,light rain,5.9746,-0.0854,Vip Lodge
57,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
58,Hostotipaquillo,MX,79.05,scattered clouds,21.0667,-104.0667,Departamento Luna
59,Katsuura,JP,80.35,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
60,Guasdualito,VE,82.4,scattered clouds,7.2424,-70.7324,Hotel Cuibas
61,Suntar,RU,39.94,overcast clouds,62.1444,117.6319,Гостевая квартира
62,Ponta Do Sol,PT,74.71,broken clouds,32.6667,-17.1,Hotel do Campo
63,Faya,SA,68.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
64,Ca Mau,VN,77.61,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
65,Baruun-Urt,MN,39.09,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
66,Barceloneta,PR,81.27,overcast clouds,18.4505,-66.5385,Manati World Point Inn
67,Leh,IN,57.43,clear sky,34.1667,77.5833,Hotel Ladakh Greens
68,Jalu,LY,86.99,clear sky,29.0331,21.5482,صاحبة الفخامة
70,Asosa,ET,60.91,light rain,10.0667,34.5333,Blendana Hotel Assosa
71,Hun,LY,92.73,clear sky,29.1268,15.9477,Alrwasi Hotel
72,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
73,Puerto Del Rosario,ES,74.95,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
74,Rossano,IT,66.56,scattered clouds,39.5751,16.6349,Hotel Scigliano
75,Ushuaia,AR,47.86,clear sky,-54.8,-68.3,Albatross Hotel
77,Kanye,BW,56.75,clear sky,-24.9667,25.3327,The Savanna Lodge
78,Jishou,CN,76.86,overcast clouds,28.3167,109.7167,7 Days Inn
79,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
80,Mataura,NZ,46.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
81,Tuktoyaktuk,CA,48.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
82,Hobart,AU,43.05,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
83,Saint-Pierre,RE,67.68,clear sky,-21.3393,55.4781,Alize Plage
84,Hudson Bay,CA,67.96,overcast clouds,52.85,-102.3842,Norwood Motel LTD
85,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Dunedin,NZ,50.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
87,Boa Vista,BR,91.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
88,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
89,Omboue,GA,76.51,overcast clouds,-1.5746,9.2618,Hotel Olako
90,Port Alfred,ZA,56.17,moderate rain,-33.5906,26.891,The Halyards Hotel
91,Santa Vitoria Do Palmar,BR,63.99,moderate rain,-33.5189,-53.3681,Hostel Comodoro
92,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
93,Tottori,JP,66.06,light rain,35.5,134.2333,Hotel Monarque Tottori
94,Powell,US,80.6,overcast clouds,40.1578,-83.0752,The Brig
95,Bengkulu,ID,74.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Bluff,NZ,46.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
97,Khandyga,RU,27.73,overcast clouds,62.6667,135.6,Apel'sin
98,Camaqua,BR,65.1,heavy intensity rain,-30.8511,-51.8122,Bartz Hotel
99,Seminole,US,92.21,broken clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
100,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
101,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
102,Neuquen,AR,55.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
103,Cruzeiro Do Sul,BR,62.08,light rain,-29.5128,-51.9853,Estrela Palace Hotel
104,Jamestown,US,74.17,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
105,Gazli,UZ,76.53,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
106,Altamira,BR,93.29,scattered clouds,-3.2033,-52.2064,Requinte Hotel
107,Ko Samui,TH,82.31,overcast clouds,9.5357,99.9357,The Passage
108,Norman Wells,CA,51.84,broken clouds,65.282,-126.8329,Heritage Hotel
109,Portland,US,79.95,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
110,Yellowknife,CA,57.72,scattered clouds,62.456,-114.3525,The Explorer Hotel
112,Beloeil,CA,60.03,overcast clouds,45.5668,-73.1992,Hôtel Rive Gauche - Refuge Gourmand
113,Kangaatsiaq,GL,38.91,few clouds,68.3065,-53.4641,Nukissiorfiit
114,Stykkisholmur,IS,50.63,overcast clouds,65.0757,-22.7297,Fosshótel Stykkishólmur
115,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
116,Hilo,US,80.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
117,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
118,Pomabamba,PE,66.29,broken clouds,-8.8333,-77.4667,VIVIENDA - ELSA CABELLO
119,Shimoda,JP,77.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
120,Purranque,CL,51.13,overcast clouds,-40.9167,-73.1667,HOSPADAJE ERICA
121,Shiyan,CN,62.87,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
122,Benghazi,LY,78.71,clear sky,32.1167,20.0667,Tibesti Hotel
123,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
124,Zhigansk,RU,27.64,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
126,Singkawang,ID,74.39,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
127,Olafsvik,IS,50.49,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
128,Porto Murtinho,BR,96.1,overcast clouds,-21.6989,-57.8825,Hotel Pantanal
129,Mayo,US,86.04,few clouds,38.8876,-76.5119,Resorts Resource Group International
130,Jutiapa,GT,76.35,broken clouds,14.2833,-89.9,Hotel Ordoñez
131,Xuddur,SO,77.81,overcast clouds,4.1213,43.8894,Banjanay Hotel
132,Atuona,PF,75.9,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
133,San Javier,ES,77.99,clear sky,37.8063,-0.8374,Hotel Mar Menor
134,Katobu,ID,74.17,overcast clouds,-4.9408,122.5276,La Ode Husein
135,Kodiak,US,58.51,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
136,Saldanha,ZA,53.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
137,Portmore,JM,93.06,scattered clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
138,Nata,PA,84.07,overcast clouds,8.3333,-80.5167,Rey David
139,Ulladulla,AU,47.3,clear sky,-35.35,150.4667,Sandpiper Motel
141,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Pisco,PE,64.02,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
144,Belmonte,BR,74.57,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
145,Orlik,RU,39.31,overcast clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
147,Broome,US,68.45,heavy intensity rain,42.2506,-75.833,Chenango Valley State Park
148,Balapur,IN,73.24,overcast clouds,20.6667,76.7667,Ambika Hotel & Cold drinks
149,Mehamn,NO,42.75,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
150,Saint George,US,89.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
151,Bialystok,PL,49.98,overcast clouds,53.1333,23.15,Hotel Podlasie
153,Iqaluit,CA,47.93,broken clouds,63.7506,-68.5145,Frobisher Inn
154,Kalmunai,LK,81.25,overcast clouds,7.4167,81.8167,VS Villa
155,Dano,BF,76.05,light rain,11.15,-3.0667,Auberge Phenix32-Dano
156,Bambanglipuro,ID,75.76,overcast clouds,-7.95,110.2833,Puri Brata
157,Springbok,ZA,42.53,clear sky,-29.6643,17.8865,Undulata Country Lodge
158,Nadym,RU,38.89,few clouds,65.5333,72.5167,Apartment on Zvereva
159,Cherskiy,RU,28.26,scattered clouds,68.75,161.3,Gostinitsa
160,Ternate,ID,80.78,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
161,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
162,Narsaq,GL,52.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
163,Bacolod,PH,78.24,overcast clouds,10.6667,122.95,Planta Hotel & Residences
