City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,MX,27.9769,-114.0611,72.46,68,100,13.47,overcast clouds
1,Karuzi,BI,-3.125,30.1333,66.63,67,19,1.57,few clouds
2,Harper,LR,4.375,-7.7169,76.28,83,96,11.25,overcast clouds
3,Vaini,TO,-21.2,-175.2,75.36,78,75,10.36,broken clouds
4,Barrow,US,71.2906,-156.7887,42.82,81,0,9.22,clear sky
5,Tazovskiy,RU,67.4667,78.7,30.49,82,7,13.53,clear sky
6,Geraldton,AU,-28.7667,114.6,55.81,82,100,4.61,overcast clouds
7,Souillac,MU,-20.5167,57.5167,70.18,73,40,9.22,scattered clouds
8,Forio,IT,40.7342,13.8646,70.52,71,100,1.99,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,57.79,81,24,2.86,light rain
10,Araouane,ML,18.9048,-3.5265,99.9,15,80,1.74,broken clouds
11,Berlevag,NO,70.8578,29.0864,44.4,88,100,18.52,overcast clouds
12,Georgetown,MY,5.4112,100.3354,81.9,87,20,2.3,few clouds
13,Maceio,BR,-9.6658,-35.7353,81.84,50,0,12.66,clear sky
14,Tobermory,CA,45.2501,-81.6665,66.49,76,4,22.86,clear sky
15,Kapaa,US,22.0752,-159.319,84.18,71,0,13.8,clear sky
16,Butaritari,KI,3.0707,172.7902,82.22,66,79,16.44,broken clouds
17,Fairbanks,US,64.8378,-147.7164,50.81,69,100,5.75,overcast clouds
18,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,1.01,overcast clouds
19,Christchurch,NZ,-43.5333,172.6333,53.47,77,100,2.3,overcast clouds
20,Kenai,US,60.5544,-151.2583,52.09,98,100,0.0,overcast clouds
21,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,35,11.18,scattered clouds
22,Ketchikan,US,55.3422,-131.6461,61.27,63,0,12.66,clear sky
23,Merauke,ID,-8.4667,140.3333,78.22,88,10,12.86,clear sky
24,Yukhnov,RU,54.7444,35.2297,50.43,86,100,17.27,overcast clouds
25,Whitehorse,CA,60.7161,-135.0538,49.1,61,75,18.41,broken clouds
26,Rikitea,PF,-23.1203,-134.9692,72.88,77,24,16.89,few clouds
27,Saint Anthony,US,45.0205,-93.218,82.29,47,0,12.66,clear sky
28,Manaus,BR,-3.1019,-60.025,91.9,55,40,4.61,scattered clouds
29,Mankono,CI,8.0586,-6.1897,73.8,89,100,2.01,overcast clouds
30,Sitka,US,57.0531,-135.33,53.49,76,20,0.0,few clouds
31,Punta Arenas,CL,-53.15,-70.9167,44.71,61,0,10.36,clear sky
32,Bredasdorp,ZA,-34.5322,20.0403,50.83,87,18,6.29,few clouds
33,Chokurdakh,RU,70.6333,147.9167,33.33,66,100,16.46,overcast clouds
34,Busselton,AU,-33.65,115.3333,56.41,80,97,12.24,overcast clouds
35,Upernavik,GL,72.7868,-56.1549,32.43,94,100,4.12,light snow
36,College,US,64.8569,-147.8028,50.79,67,75,5.75,broken clouds
37,Mana,GF,5.6592,-53.7767,85.59,66,81,9.91,broken clouds
38,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,40,9.22,scattered clouds
39,Cape Town,ZA,-33.9258,18.4232,59.27,74,40,3.44,scattered clouds
40,New Norfolk,AU,-42.7826,147.0587,42.71,88,78,2.39,broken clouds
41,San Miguel De Cauri,PE,-10.1,-76.5833,62.1,32,12,13.0,few clouds
42,Dalvik,IS,65.9702,-18.5286,53.53,88,100,8.97,overcast clouds
43,Castro,BR,-24.7911,-50.0119,68.29,62,100,1.88,moderate rain
44,Cabo San Lucas,MX,22.8909,-109.9124,86.61,77,75,18.41,broken clouds
45,Kokopo,PG,-4.352,152.2633,75.87,85,99,4.43,light rain
46,Severo-Kurilsk,RU,50.6789,156.125,54.16,97,100,19.77,light rain
47,Arzgir,RU,45.3728,44.2206,68.11,46,100,9.75,overcast clouds
48,Ribeira Grande,PT,38.5167,-28.7,79.2,78,20,5.75,few clouds
49,Sirvintos,LT,55.05,24.95,51.57,85,100,7.43,overcast clouds
50,Lagoa,PT,39.05,-27.9833,74.21,84,45,8.08,scattered clouds
51,Airai,TL,-8.9266,125.4092,59.74,92,99,1.95,overcast clouds
52,Khatanga,RU,71.9667,102.5,26.89,90,100,13.47,overcast clouds
53,Sayat,TM,38.7839,63.8803,75.07,18,0,10.02,clear sky
54,Cockburn Town,TC,21.4612,-71.1419,81.55,74,100,26.37,overcast clouds
55,Nikolskoye,RU,59.7035,30.7861,49.91,92,100,13.67,light rain
56,Akropong,GH,5.9746,-0.0854,72.55,94,100,6.29,light rain
57,Victoria,HK,22.2855,114.1577,85.32,86,92,8.01,overcast clouds
58,Hostotipaquillo,MX,21.0667,-104.0667,79.05,77,41,3.27,scattered clouds
59,Katsuura,JP,35.1333,140.3,80.35,86,55,30.11,broken clouds
60,Guasdualito,VE,7.2424,-70.7324,82.4,78,40,4.61,scattered clouds
61,Suntar,RU,62.1444,117.6319,39.94,98,100,5.03,overcast clouds
62,Ponta Do Sol,PT,32.6667,-17.1,74.71,85,58,2.57,broken clouds
63,Faya,SA,18.3851,42.4509,68.11,49,95,1.83,overcast clouds
64,Ca Mau,VN,9.1769,105.15,77.61,87,100,4.07,overcast clouds
65,Baruun-Urt,MN,46.6806,113.2792,39.09,41,0,8.86,clear sky
66,Barceloneta,PR,18.4505,-66.5385,81.27,89,100,11.03,overcast clouds
67,Leh,IN,34.1667,77.5833,57.43,24,0,3.98,clear sky
68,Jalu,LY,29.0331,21.5482,86.99,25,0,7.34,clear sky
69,Albany,US,42.6001,-73.9662,77.58,76,100,1.99,overcast clouds
70,Asosa,ET,10.0667,34.5333,60.91,95,100,3.76,light rain
71,Hun,LY,29.1268,15.9477,92.73,13,0,6.24,clear sky
72,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,13.8,scattered clouds
73,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,83,40,3.44,scattered clouds
74,Rossano,IT,39.5751,16.6349,66.56,39,30,5.99,scattered clouds
75,Ushuaia,AR,-54.8,-68.3,47.86,53,0,4.61,clear sky
76,Ostrovnoy,RU,68.0531,39.5131,48.22,96,86,7.18,overcast clouds
77,Kanye,BW,-24.9667,25.3327,56.75,28,1,19.53,clear sky
78,Jishou,CN,28.3167,109.7167,76.86,57,94,4.03,overcast clouds
79,Thompson,CA,55.7435,-97.8558,60.96,77,75,6.91,broken clouds
80,Mataura,NZ,-46.1927,168.8643,46.47,89,100,1.05,overcast clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,71,75,9.22,broken clouds
82,Hobart,AU,-42.8794,147.3294,43.05,87,22,1.14,few clouds
83,Saint-Pierre,RE,-21.3393,55.4781,67.68,73,0,6.91,clear sky
84,Hudson Bay,CA,52.85,-102.3842,67.96,39,100,9.48,overcast clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,92,7.0,overcast clouds
86,Dunedin,NZ,-45.8742,170.5036,50.81,70,100,3.74,overcast clouds
87,Boa Vista,BR,2.8197,-60.6733,91.38,49,75,4.61,broken clouds
88,Acapulco,MX,16.8634,-99.8901,84.02,74,75,5.75,broken clouds
89,Omboue,GA,-1.5746,9.2618,76.51,83,98,8.3,overcast clouds
90,Port Alfred,ZA,-33.5906,26.891,56.17,93,100,5.01,moderate rain
91,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,63.99,77,100,1.79,moderate rain
92,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,64,0,17.27,clear sky
93,Tottori,JP,35.5,134.2333,66.06,87,100,25.93,light rain
94,Powell,US,40.1578,-83.0752,80.6,76,100,5.75,overcast clouds
95,Bengkulu,ID,-3.8004,102.2655,74.88,89,100,3.24,overcast clouds
